date,rule,selectedLegsOnDay,comboIndex,legA_rank,legA_player,legA_team,legA_market,legA_side,legA_line,legA_correct,legB_rank,legB_player,legB_team,legB_market,legB_side,legB_line,legB_correct,legC_rank,legC_player,legC_team,legC_market,legC_side,legC_line,legC_correct,combo_hit
2025-10-30,daily_top6_under_else_top3_triplets_v1,3,1,1,Shai Gilgeous-Alexander,OKC,PTS,UNDER,33.5,True,3,Kel'el Ware,MIA,REB,UNDER,7.75,True,5,Khris Middleton,WAS,REB,UNDER,3.5,True,True
2025-10-31,daily_top6_under_else_top3_triplets_v1,4,1,1,VJ Edgecombe,PHI,PTS,UNDER,17.5,True,2,Scottie Barnes,TOR,PTS,UNDER,17.5,True,3,Toumani Camara,POR,PRA,UNDER,22.5,True,True
2025-10-31,daily_top6_under_else_top3_triplets_v1,4,2,1,VJ Edgecombe,PHI,PTS,UNDER,17.5,True,2,Scottie Barnes,TOR,PTS,UNDER,17.5,True,4,Karl-Anthony Towns,NYK,REB,UNDER,11.5,True,True
2025-10-31,daily_top6_under_else_top3_triplets_v1,4,3,1,VJ Edgecombe,PHI,PTS,UNDER,17.5,True,3,Toumani Camara,POR,PRA,UNDER,22.5,True,4,Karl-Anthony Towns,NYK,REB,UNDER,11.5,True,True
2025-10-31,daily_top6_under_else_top3_triplets_v1,4,4,2,Scottie Barnes,TOR,PTS,UNDER,17.5,True,3,Toumani Camara,POR,PRA,UNDER,22.5,True,4,Karl-Anthony Towns,NYK,REB,UNDER,11.5,True,True
2025-11-01,daily_top6_under_else_top3_triplets_v1,4,1,1,CJ McCollum,WAS,PTS,UNDER,15.5,True,2,Payton Pritchard,BOS,PRA,UNDER,31.5,True,3,Nique Clifford,SAC,AST,UNDER,0.5,True,True
2025-11-01,daily_top6_under_else_top3_triplets_v1,4,2,1,CJ McCollum,WAS,PTS,UNDER,15.5,True,2,Payton Pritchard,BOS,PRA,UNDER,31.5,True,4,Cooper Flagg,DAL,PTS,UNDER,16.5,True,True
2025-11-01,daily_top6_under_else_top3_triplets_v1,4,3,1,CJ McCollum,WAS,PTS,UNDER,15.5,True,3,Nique Clifford,SAC,AST,UNDER,0.5,True,4,Cooper Flagg,DAL,PTS,UNDER,16.5,True,True
2025-11-01,daily_top6_under_else_top3_triplets_v1,4,4,2,Payton Pritchard,BOS,PRA,UNDER,31.5,True,3,Nique Clifford,SAC,AST,UNDER,0.5,True,4,Cooper Flagg,DAL,PTS,UNDER,16.5,True,True
2025-11-02,daily_top6_under_else_top3_triplets_v1,4,1,1,Saddiq Bey,NOP,PTS,UNDER,7.5,True,2,Nickeil Alexander-Walker,ATL,PRA,UNDER,28.5,True,3,Victor Wembanyama,SAS,PTS,UNDER,28.0,True,True
2025-11-02,daily_top6_under_else_top3_triplets_v1,4,2,1,Saddiq Bey,NOP,PTS,UNDER,7.5,True,2,Nickeil Alexander-Walker,ATL,PRA,UNDER,28.5,True,5,Tre Jones,CHI,REB,UNDER,2.5,True,True
2025-11-02,daily_top6_under_else_top3_triplets_v1,4,3,1,Saddiq Bey,NOP,PTS,UNDER,7.5,True,3,Victor Wembanyama,SAS,PTS,UNDER,28.0,True,5,Tre Jones,CHI,REB,UNDER,2.5,True,True
2025-11-02,daily_top6_under_else_top3_triplets_v1,4,4,2,Nickeil Alexander-Walker,ATL,PRA,UNDER,28.5,True,3,Victor Wembanyama,SAS,PTS,UNDER,28.0,True,5,Tre Jones,CHI,REB,UNDER,2.5,True,True
2025-11-03,daily_top6_under_else_top3_triplets_v1,3,1,1,Payton Pritchard,BOS,PRA,UNDER,27.5,True,2,Shaedon Sharpe,POR,PTS,OVER,19.5,True,3,Cade Cunningham,DET,PTS,OVER,27.0,True,True
2025-11-04,daily_top6_under_else_top3_triplets_v1,3,1,1,VJ Edgecombe,PHI,PTS,UNDER,15.5,True,3,Isaiah Hartenstein,OKC,REB,UNDER,8.5,True,5,Nikola Vučević,CHI,REB,UNDER,10.5,True,True
2025-11-05,daily_top6_under_else_top3_triplets_v1,3,1,2,Mikal Bridges,NYK,PRA,UNDER,28.5,True,3,Luka Dončić,LAL,PTS,UNDER,35.5,True,4,VJ Edgecombe,PHI,REB,UNDER,4.5,True,True
2025-11-07,daily_top6_under_else_top3_triplets_v1,3,1,1,Anthony Edwards,MIN,PTS,OVER,26.5,True,2,Josh Giddey,CHI,PRA,OVER,31.5,True,3,Scottie Barnes,TOR,PTS,UNDER,18.5,True,True
2025-11-08,daily_top6_under_else_top3_triplets_v1,3,1,1,Scottie Barnes,TOR,PTS,UNDER,18.5,True,2,Evan Mobley,CLE,PRA,UNDER,37.5,True,3,Harrison Barnes,SAS,PTS,OVER,10.5,True,True
2025-11-09,daily_top6_under_else_top3_triplets_v1,4,1,1,Russell Westbrook,SAC,PTS,UNDER,13.5,True,2,Ryan Rollins,MIL,PRA,UNDER,30.5,True,5,Mikal Bridges,NYK,REB,UNDER,3.5,True,True
2025-11-09,daily_top6_under_else_top3_triplets_v1,4,2,1,Russell Westbrook,SAC,PTS,UNDER,13.5,True,2,Ryan Rollins,MIL,PRA,UNDER,30.5,True,6,Isaiah Hartenstein,OKC,AST,UNDER,2.5,True,True
2025-11-09,daily_top6_under_else_top3_triplets_v1,4,3,1,Russell Westbrook,SAC,PTS,UNDER,13.5,True,5,Mikal Bridges,NYK,REB,UNDER,3.5,True,6,Isaiah Hartenstein,OKC,AST,UNDER,2.5,True,True
2025-11-09,daily_top6_under_else_top3_triplets_v1,4,4,2,Ryan Rollins,MIL,PRA,UNDER,30.5,True,5,Mikal Bridges,NYK,REB,UNDER,3.5,True,6,Isaiah Hartenstein,OKC,AST,UNDER,2.5,True,True
2025-11-10,daily_top6_under_else_top3_triplets_v1,5,1,2,Devin Booker,PHX,RA,UNDER,9.5,True,3,Isaiah Collier,UTA,PTS,UNDER,6.5,True,4,Nikola Vučević,CHI,REB,UNDER,10.5,True,True
2025-11-10,daily_top6_under_else_top3_triplets_v1,5,2,2,Devin Booker,PHX,RA,UNDER,9.5,True,3,Isaiah Collier,UTA,PTS,UNDER,6.5,True,5,Onyeka Okongwu,ATL,REB,UNDER,7.5,True,True
2025-11-10,daily_top6_under_else_top3_triplets_v1,5,3,2,Devin Booker,PHX,RA,UNDER,9.5,True,3,Isaiah Collier,UTA,PTS,UNDER,6.5,True,6,De'Aaron Fox,SAS,AST,UNDER,5.5,True,True
2025-11-10,daily_top6_under_else_top3_triplets_v1,5,4,2,Devin Booker,PHX,RA,UNDER,9.5,True,4,Nikola Vučević,CHI,REB,UNDER,10.5,True,5,Onyeka Okongwu,ATL,REB,UNDER,7.5,True,True
2025-11-10,daily_top6_under_else_top3_triplets_v1,5,5,2,Devin Booker,PHX,RA,UNDER,9.5,True,4,Nikola Vučević,CHI,REB,UNDER,10.5,True,6,De'Aaron Fox,SAS,AST,UNDER,5.5,True,True
2025-11-10,daily_top6_under_else_top3_triplets_v1,5,6,2,Devin Booker,PHX,RA,UNDER,9.5,True,5,Onyeka Okongwu,ATL,REB,UNDER,7.5,True,6,De'Aaron Fox,SAS,AST,UNDER,5.5,True,True
2025-11-10,daily_top6_under_else_top3_triplets_v1,5,7,3,Isaiah Collier,UTA,PTS,UNDER,6.5,True,4,Nikola Vučević,CHI,REB,UNDER,10.5,True,5,Onyeka Okongwu,ATL,REB,UNDER,7.5,True,True
2025-11-10,daily_top6_under_else_top3_triplets_v1,5,8,3,Isaiah Collier,UTA,PTS,UNDER,6.5,True,4,Nikola Vučević,CHI,REB,UNDER,10.5,True,6,De'Aaron Fox,SAS,AST,UNDER,5.5,True,True
2025-11-10,daily_top6_under_else_top3_triplets_v1,5,9,3,Isaiah Collier,UTA,PTS,UNDER,6.5,True,5,Onyeka Okongwu,ATL,REB,UNDER,7.5,True,6,De'Aaron Fox,SAS,AST,UNDER,5.5,True,True
2025-11-10,daily_top6_under_else_top3_triplets_v1,5,10,4,Nikola Vučević,CHI,REB,UNDER,10.5,True,5,Onyeka Okongwu,ATL,REB,UNDER,7.5,True,6,De'Aaron Fox,SAS,AST,UNDER,5.5,True,True
2025-11-11,daily_top6_under_else_top3_triplets_v1,3,1,1,Pascal Siakam,IND,PTS,OVER,25.5,True,2,RJ Barrett,TOR,PRA,OVER,27.5,False,3,Russell Westbrook,SAC,PTS,OVER,11.5,True,False
2025-11-12,daily_top6_under_else_top3_triplets_v1,3,1,1,Luka Dončić,LAL,PTS,UNDER,31.5,True,5,Nikola Vučević,CHI,REB,UNDER,10.5,True,6,James Harden,LAC,THREES,UNDER,2.5,True,True
2025-11-13,daily_top6_under_else_top3_triplets_v1,3,1,1,Donovan Mitchell,CLE,PTS,UNDER,26.5,False,2,Isaiah Collier,UTA,PRA,UNDER,32.5,True,5,Nick Richards,PHX,REB,UNDER,8.5,True,False
2025-11-14,daily_top6_under_else_top3_triplets_v1,3,1,1,Jake LaRavia,LAL,PTS,UNDER,7.5,True,3,LaMelo Ball,CHA,PTS,UNDER,20.5,True,4,Stephon Castle,SAS,AST,UNDER,7.5,True,True
2025-11-15,daily_top6_under_else_top3_triplets_v1,5,1,1,Miles Bridges,CHA,PTS,UNDER,19.5,True,2,Nikola Jokić,DEN,PTS,UNDER,27.5,True,4,Cedric Coward,MEM,AST,UNDER,2.5,True,True
2025-11-15,daily_top6_under_else_top3_triplets_v1,5,2,1,Miles Bridges,CHA,PTS,UNDER,19.5,True,2,Nikola Jokić,DEN,PTS,UNDER,27.5,True,5,Scottie Barnes,TOR,THREES,UNDER,0.5,True,True
2025-11-15,daily_top6_under_else_top3_triplets_v1,5,3,1,Miles Bridges,CHA,PTS,UNDER,19.5,True,2,Nikola Jokić,DEN,PTS,UNDER,27.5,True,6,Myles Turner,MIL,THREES,UNDER,1.5,True,True
2025-11-15,daily_top6_under_else_top3_triplets_v1,5,4,1,Miles Bridges,CHA,PTS,UNDER,19.5,True,4,Cedric Coward,MEM,AST,UNDER,2.5,True,5,Scottie Barnes,TOR,THREES,UNDER,0.5,True,True
2025-11-15,daily_top6_under_else_top3_triplets_v1,5,5,1,Miles Bridges,CHA,PTS,UNDER,19.5,True,4,Cedric Coward,MEM,AST,UNDER,2.5,True,6,Myles Turner,MIL,THREES,UNDER,1.5,True,True
2025-11-15,daily_top6_under_else_top3_triplets_v1,5,6,1,Miles Bridges,CHA,PTS,UNDER,19.5,True,5,Scottie Barnes,TOR,THREES,UNDER,0.5,True,6,Myles Turner,MIL,THREES,UNDER,1.5,True,True
2025-11-15,daily_top6_under_else_top3_triplets_v1,5,7,2,Nikola Jokić,DEN,PTS,UNDER,27.5,True,4,Cedric Coward,MEM,AST,UNDER,2.5,True,5,Scottie Barnes,TOR,THREES,UNDER,0.5,True,True
2025-11-15,daily_top6_under_else_top3_triplets_v1,5,8,2,Nikola Jokić,DEN,PTS,UNDER,27.5,True,4,Cedric Coward,MEM,AST,UNDER,2.5,True,6,Myles Turner,MIL,THREES,UNDER,1.5,True,True
2025-11-15,daily_top6_under_else_top3_triplets_v1,5,9,2,Nikola Jokić,DEN,PTS,UNDER,27.5,True,5,Scottie Barnes,TOR,THREES,UNDER,0.5,True,6,Myles Turner,MIL,THREES,UNDER,1.5,True,True
2025-11-15,daily_top6_under_else_top3_triplets_v1,5,10,4,Cedric Coward,MEM,AST,UNDER,2.5,True,5,Scottie Barnes,TOR,THREES,UNDER,0.5,True,6,Myles Turner,MIL,THREES,UNDER,1.5,True,True
2025-11-16,daily_top6_under_else_top3_triplets_v1,3,1,3,Vít Krejčí,ATL,PTS,UNDER,8.5,True,5,Alperen Sengun,HOU,REB,UNDER,9.5,False,6,Bilal Coulibaly,WAS,THREES,UNDER,0.5,True,False
2025-11-17,daily_top6_under_else_top3_triplets_v1,3,1,1,Karl-Anthony Towns,NYK,PTS,OVER,27.5,False,2,Nikola Jokić,DEN,PRA,OVER,49.5,True,3,Moussa Diabaté,CHA,PTS,OVER,7.5,True,False
2025-11-18,daily_top6_under_else_top3_triplets_v1,3,1,1,Cade Cunningham,DET,PTS,OVER,24.5,True,2,Isaiah Collier,UTA,PTS,OVER,8.5,True,3,Harrison Barnes,SAS,PRA,OVER,13.5,True,True
2025-11-19,daily_top6_under_else_top3_triplets_v1,3,1,1,Nikola Jokić,DEN,PTS,UNDER,28.5,True,2,Evan Mobley,CLE,PRA,OVER,23.5,True,3,Josh Giddey,CHI,REB,UNDER,8.5,True,True
2025-11-20,daily_top6_under_else_top3_triplets_v1,3,1,3,Vít Krejčí,ATL,PTS,UNDER,7.5,True,4,James Harden,LAC,REB,UNDER,5.5,True,6,Bobby Portis,MIL,REB,UNDER,8.5,True,True
2025-11-21,daily_top6_under_else_top3_triplets_v1,3,1,3,Bam Adebayo,MIA,PTS,UNDER,21.5,True,4,Tristan Vukcevic,WAS,REB,UNDER,6.5,True,5,Alperen Sengun,HOU,REB,UNDER,9.5,True,True
2025-11-22,daily_top6_under_else_top3_triplets_v1,3,1,1,P.J. Washington,DAL,PTS,OVER,16.5,False,2,Cade Cunningham,DET,PRA,OVER,26.5,True,3,Miles Bridges,CHA,PTS,OVER,18.5,True,False
2025-11-23,daily_top6_under_else_top3_triplets_v1,3,1,4,Marcus Smart,LAL,AST,UNDER,1.5,True,5,Scottie Barnes,TOR,PTS,UNDER,18.5,True,6,James Harden,LAC,REB,UNDER,4.5,True,True
2025-11-24,daily_top6_under_else_top3_triplets_v1,3,1,1,Duncan Robinson,DET,PTS,UNDER,10.5,True,4,Jalen Smith,CHI,REB,UNDER,8.5,True,5,Alperen Sengun,HOU,REB,UNDER,9.5,True,True
2025-11-25,daily_top6_under_else_top3_triplets_v1,3,1,1,Nickeil Alexander-Walker,ATL,PTS,UNDER,18.5,True,2,Kawhi Leonard,LAC,PTS,UNDER,20.5,True,3,Anthony Black,ORL,PRA,OVER,15.5,True,True
2025-11-26,daily_top6_under_else_top3_triplets_v1,4,1,1,Miles Bridges,CHA,PTS,UNDER,18.5,True,2,Shaedon Sharpe,POR,PTS,UNDER,19.5,True,4,Karl-Anthony Towns,NYK,REB,UNDER,11.5,True,True
2025-11-26,daily_top6_under_else_top3_triplets_v1,4,2,1,Miles Bridges,CHA,PTS,UNDER,18.5,True,2,Shaedon Sharpe,POR,PTS,UNDER,19.5,True,6,Alperen Sengun,HOU,REB,UNDER,11.5,True,True
2025-11-26,daily_top6_under_else_top3_triplets_v1,4,3,1,Miles Bridges,CHA,PTS,UNDER,18.5,True,4,Karl-Anthony Towns,NYK,REB,UNDER,11.5,True,6,Alperen Sengun,HOU,REB,UNDER,11.5,True,True
2025-11-26,daily_top6_under_else_top3_triplets_v1,4,4,2,Shaedon Sharpe,POR,PTS,UNDER,19.5,True,4,Karl-Anthony Towns,NYK,REB,UNDER,11.5,True,6,Alperen Sengun,HOU,REB,UNDER,11.5,True,True
2025-11-28,daily_top6_under_else_top3_triplets_v1,3,1,1,Kon Knueppel,CHA,PTS,UNDER,16.5,True,2,CJ McCollum,WAS,PTS,UNDER,18.5,True,4,Jaylon Tyson,CLE,REB,UNDER,3.5,True,True
2025-11-29,daily_top6_under_else_top3_triplets_v1,5,1,1,Ryan Rollins,MIL,PTS,UNDER,16.0,True,2,Collin Gillespie,PHX,PTS,UNDER,13.5,True,3,Cade Cunningham,DET,PRA,UNDER,42.5,True,True
2025-11-29,daily_top6_under_else_top3_triplets_v1,5,2,1,Ryan Rollins,MIL,PTS,UNDER,16.0,True,2,Collin Gillespie,PHX,PTS,UNDER,13.5,True,4,Kel'el Ware,MIA,REB,UNDER,10.5,True,True
2025-11-29,daily_top6_under_else_top3_triplets_v1,5,3,1,Ryan Rollins,MIL,PTS,UNDER,16.0,True,2,Collin Gillespie,PHX,PTS,UNDER,13.5,True,5,Derrick White,BOS,REB,UNDER,3.5,True,True
2025-11-29,daily_top6_under_else_top3_triplets_v1,5,4,1,Ryan Rollins,MIL,PTS,UNDER,16.0,True,3,Cade Cunningham,DET,PRA,UNDER,42.5,True,4,Kel'el Ware,MIA,REB,UNDER,10.5,True,True
2025-11-29,daily_top6_under_else_top3_triplets_v1,5,5,1,Ryan Rollins,MIL,PTS,UNDER,16.0,True,3,Cade Cunningham,DET,PRA,UNDER,42.5,True,5,Derrick White,BOS,REB,UNDER,3.5,True,True
2025-11-29,daily_top6_under_else_top3_triplets_v1,5,6,1,Ryan Rollins,MIL,PTS,UNDER,16.0,True,4,Kel'el Ware,MIA,REB,UNDER,10.5,True,5,Derrick White,BOS,REB,UNDER,3.5,True,True
2025-11-29,daily_top6_under_else_top3_triplets_v1,5,7,2,Collin Gillespie,PHX,PTS,UNDER,13.5,True,3,Cade Cunningham,DET,PRA,UNDER,42.5,True,4,Kel'el Ware,MIA,REB,UNDER,10.5,True,True
2025-11-29,daily_top6_under_else_top3_triplets_v1,5,8,2,Collin Gillespie,PHX,PTS,UNDER,13.5,True,3,Cade Cunningham,DET,PRA,UNDER,42.5,True,5,Derrick White,BOS,REB,UNDER,3.5,True,True
2025-11-29,daily_top6_under_else_top3_triplets_v1,5,9,2,Collin Gillespie,PHX,PTS,UNDER,13.5,True,4,Kel'el Ware,MIA,REB,UNDER,10.5,True,5,Derrick White,BOS,REB,UNDER,3.5,True,True
2025-11-29,daily_top6_under_else_top3_triplets_v1,5,10,3,Cade Cunningham,DET,PRA,UNDER,42.5,True,4,Kel'el Ware,MIA,REB,UNDER,10.5,True,5,Derrick White,BOS,REB,UNDER,3.5,True,True
2025-11-30,daily_top6_under_else_top3_triplets_v1,5,1,1,Reed Sheppard,HOU,PTS,UNDER,14.5,True,2,VJ Edgecombe,PHI,REB,UNDER,4.5,True,3,Donovan Mitchell,CLE,PRA,UNDER,35.5,True,True
2025-11-30,daily_top6_under_else_top3_triplets_v1,5,2,1,Reed Sheppard,HOU,PTS,UNDER,14.5,True,2,VJ Edgecombe,PHI,REB,UNDER,4.5,True,5,Baylor Scheierman,BOS,REB,UNDER,4.0,True,True
2025-11-30,daily_top6_under_else_top3_triplets_v1,5,3,1,Reed Sheppard,HOU,PTS,UNDER,14.5,True,2,VJ Edgecombe,PHI,REB,UNDER,4.5,True,6,DeMar DeRozan,SAC,AST,UNDER,4.5,True,True
2025-11-30,daily_top6_under_else_top3_triplets_v1,5,4,1,Reed Sheppard,HOU,PTS,UNDER,14.5,True,3,Donovan Mitchell,CLE,PRA,UNDER,35.5,True,5,Baylor Scheierman,BOS,REB,UNDER,4.0,True,True
2025-11-30,daily_top6_under_else_top3_triplets_v1,5,5,1,Reed Sheppard,HOU,PTS,UNDER,14.5,True,3,Donovan Mitchell,CLE,PRA,UNDER,35.5,True,6,DeMar DeRozan,SAC,AST,UNDER,4.5,True,True
2025-11-30,daily_top6_under_else_top3_triplets_v1,5,6,1,Reed Sheppard,HOU,PTS,UNDER,14.5,True,5,Baylor Scheierman,BOS,REB,UNDER,4.0,True,6,DeMar DeRozan,SAC,AST,UNDER,4.5,True,True
2025-11-30,daily_top6_under_else_top3_triplets_v1,5,7,2,VJ Edgecombe,PHI,REB,UNDER,4.5,True,3,Donovan Mitchell,CLE,PRA,UNDER,35.5,True,5,Baylor Scheierman,BOS,REB,UNDER,4.0,True,True
2025-11-30,daily_top6_under_else_top3_triplets_v1,5,8,2,VJ Edgecombe,PHI,REB,UNDER,4.5,True,3,Donovan Mitchell,CLE,PRA,UNDER,35.5,True,6,DeMar DeRozan,SAC,AST,UNDER,4.5,True,True
2025-11-30,daily_top6_under_else_top3_triplets_v1,5,9,2,VJ Edgecombe,PHI,REB,UNDER,4.5,True,5,Baylor Scheierman,BOS,REB,UNDER,4.0,True,6,DeMar DeRozan,SAC,AST,UNDER,4.5,True,True
2025-11-30,daily_top6_under_else_top3_triplets_v1,5,10,3,Donovan Mitchell,CLE,PRA,UNDER,35.5,True,5,Baylor Scheierman,BOS,REB,UNDER,4.0,True,6,DeMar DeRozan,SAC,AST,UNDER,4.5,True,True
2025-12-01,daily_top6_under_else_top3_triplets_v1,3,1,1,Cameron Johnson,DEN,PTS,UNDER,14.5,True,2,Andrew Nembhard,IND,PTS,OVER,16.5,True,3,Nickeil Alexander-Walker,ATL,PRA,OVER,23.5,True,True
2025-12-02,daily_top6_under_else_top3_triplets_v1,3,1,1,Brandon Ingram,TOR,PRA,UNDER,31.5,True,3,Payton Pritchard,BOS,PTS,UNDER,16.5,True,4,Saddiq Bey,NOP,REB,UNDER,6.5,True,True
2025-12-03,daily_top6_under_else_top3_triplets_v1,5,1,1,Kawhi Leonard,LAC,PTS,UNDER,23.5,True,2,Devin Vassell,SAS,PTS,UNDER,15.5,True,3,Bennedict Mathurin,IND,PRA,UNDER,28.25,True,True
2025-12-03,daily_top6_under_else_top3_triplets_v1,5,2,1,Kawhi Leonard,LAC,PTS,UNDER,23.5,True,2,Devin Vassell,SAS,PTS,UNDER,15.5,True,5,Evan Mobley,CLE,REB,UNDER,10.5,True,True
2025-12-03,daily_top6_under_else_top3_triplets_v1,5,3,1,Kawhi Leonard,LAC,PTS,UNDER,23.5,True,2,Devin Vassell,SAS,PTS,UNDER,15.5,True,6,AJ Green,MIL,AST,UNDER,1.5,True,True
2025-12-03,daily_top6_under_else_top3_triplets_v1,5,4,1,Kawhi Leonard,LAC,PTS,UNDER,23.5,True,3,Bennedict Mathurin,IND,PRA,UNDER,28.25,True,5,Evan Mobley,CLE,REB,UNDER,10.5,True,True
2025-12-03,daily_top6_under_else_top3_triplets_v1,5,5,1,Kawhi Leonard,LAC,PTS,UNDER,23.5,True,3,Bennedict Mathurin,IND,PRA,UNDER,28.25,True,6,AJ Green,MIL,AST,UNDER,1.5,True,True
2025-12-03,daily_top6_under_else_top3_triplets_v1,5,6,1,Kawhi Leonard,LAC,PTS,UNDER,23.5,True,5,Evan Mobley,CLE,REB,UNDER,10.5,True,6,AJ Green,MIL,AST,UNDER,1.5,True,True
2025-12-03,daily_top6_under_else_top3_triplets_v1,5,7,2,Devin Vassell,SAS,PTS,UNDER,15.5,True,3,Bennedict Mathurin,IND,PRA,UNDER,28.25,True,5,Evan Mobley,CLE,REB,UNDER,10.5,True,True
2025-12-03,daily_top6_under_else_top3_triplets_v1,5,8,2,Devin Vassell,SAS,PTS,UNDER,15.5,True,3,Bennedict Mathurin,IND,PRA,UNDER,28.25,True,6,AJ Green,MIL,AST,UNDER,1.5,True,True
2025-12-03,daily_top6_under_else_top3_triplets_v1,5,9,2,Devin Vassell,SAS,PTS,UNDER,15.5,True,5,Evan Mobley,CLE,REB,UNDER,10.5,True,6,AJ Green,MIL,AST,UNDER,1.5,True,True
2025-12-03,daily_top6_under_else_top3_triplets_v1,5,10,3,Bennedict Mathurin,IND,PRA,UNDER,28.25,True,5,Evan Mobley,CLE,REB,UNDER,10.5,True,6,AJ Green,MIL,AST,UNDER,1.5,True,True
2025-12-04,daily_top6_under_else_top3_triplets_v1,3,1,1,Anthony Edwards,MIN,PTS,UNDER,29.5,True,4,Brandin Podziemski,GSW,PRA,UNDER,25.5,True,5,Kyle Filipowski,UTA,REB,UNDER,8.5,True,True
2025-12-05,daily_top6_under_else_top3_triplets_v1,5,1,2,Collin Gillespie,PHX,PTS,UNDER,14.5,True,3,Desmond Bane,ORL,PTS,UNDER,20.5,True,4,Onyeka Okongwu,ATL,REB,UNDER,6.75,True,True
2025-12-05,daily_top6_under_else_top3_triplets_v1,5,2,2,Collin Gillespie,PHX,PTS,UNDER,14.5,True,3,Desmond Bane,ORL,PTS,UNDER,20.5,True,5,Neemias Queta,BOS,REB,UNDER,8.5,True,True
2025-12-05,daily_top6_under_else_top3_triplets_v1,5,3,2,Collin Gillespie,PHX,PTS,UNDER,14.5,True,3,Desmond Bane,ORL,PTS,UNDER,20.5,True,6,Duncan Robinson,DET,AST,UNDER,1.5,True,True
2025-12-05,daily_top6_under_else_top3_triplets_v1,5,4,2,Collin Gillespie,PHX,PTS,UNDER,14.5,True,4,Onyeka Okongwu,ATL,REB,UNDER,6.75,True,5,Neemias Queta,BOS,REB,UNDER,8.5,True,True
2025-12-05,daily_top6_under_else_top3_triplets_v1,5,5,2,Collin Gillespie,PHX,PTS,UNDER,14.5,True,4,Onyeka Okongwu,ATL,REB,UNDER,6.75,True,6,Duncan Robinson,DET,AST,UNDER,1.5,True,True
