playerName,PTS_samples,PTS_acc,PTS_holdout,PTS_hit80,REB_samples,REB_acc,REB_holdout,REB_hit80,AST_samples,AST_acc,AST_holdout,AST_hit80,THREES_samples,THREES_acc,THREES_holdout,THREES_hit80
Aaron Gordon,24,91.67,50,true,24,91.67,37.5,true,24,95.83,12.5,true,23,95.65,57.14,true
Aaron Holiday,9,100,33.33,true,9,88.89,33.33,true,9,100,33.33,true,3,100,,true
Aaron Nesmith,35,91.43,45.45,true,35,97.14,72.73,true,35,85.71,54.55,true,33,96.97,30,true
Ajay Mitchell,42,85.71,38.46,true,42,92.86,53.85,true,42,95.24,38.46,true,34,88.24,72.73,true
Alex Caruso,29,96.55,44.44,true,26,92.31,62.5,true,26,100,87.5,true,6,100,,true
Amir Coffey,3,100,,true,3,100,,true,3,100,,true,2,100,,true
Andre Drummond,31,93.55,40,true,31,93.55,60,true,31,87.1,50,true,23,95.65,57.14,true
Andrew Nembhard,50,90,73.33,true,50,96,53.33,true,50,88,60,true,49,83.67,53.33,true
Andrew Wiggins,56,87.5,47.06,true,56,91.07,47.06,true,55,81.82,47.06,true,50,80,53.33,true
Anthony Black,58,91.38,55.56,true,58,87.93,61.11,true,58,87.93,33.33,true,51,88.24,43.75,true
Anthony Davis,16,87.5,80,true,17,94.12,66.67,true,17,94.12,66.67,true,16,87.5,20,true
Anthony Gill,9,100,33.33,true,9,100,66.67,true,8,100,66.67,true,2,100,,true
Asa Newell,7,100,,true,6,100,,true,4,100,,true,2,100,,true
Austin Reaves,36,97.22,81.82,true,36,100,72.73,true,36,88.89,63.64,true,32,84.38,30,true
Bam Adebayo,55,90.91,41.18,true,55,83.64,35.29,true,55,87.27,47.06,true,46,93.48,50,true
Baylor Scheierman,21,90.48,71.43,true,20,95,50,true,20,95,83.33,true,13,84.62,25,true
Ben Sheppard,41,95.12,38.46,true,41,95.12,30.77,true,39,89.74,58.33,true,24,91.67,37.5,true
Bennedict Mathurin,39,94.87,41.67,true,40,82.5,50,true,40,85,58.33,true,37,91.89,33.33,true
Bilal Coulibaly,42,88.1,61.54,true,41,95.12,76.92,true,42,83.33,61.54,true,36,91.67,36.36,true
Bogdan Bogdanović,14,100,40,true,12,100,25,true,12,100,50,true,9,100,0,true
Bones Hyland,18,83.33,83.33,true,15,100,80,true,16,100,20,true,1,100,,true
Bradley Beal,5,100,,true,5,100,,true,5,100,,true,5,100,,true
Brandon Miller,46,93.48,35.71,true,46,89.13,64.29,true,45,86.67,71.43,true,45,80,64.29,true
Brandon Williams,45,84.44,57.14,true,43,88.37,46.15,true,44,90.91,42.86,true,21,95.24,57.14,true
Brook Lopez,36,97.22,45.45,true,36,80.56,45.45,true,36,88.89,72.73,true,20,95,33.33,true
Bruce Brown,64,81.25,45,true,64,85.94,55,true,63,93.65,63.16,true,31,90.32,50,true
Bryce McGowens,14,92.86,40,true,10,100,33.33,true,11,81.82,50,true,2,100,,true
Bub Carrington,62,91.94,52.63,true,62,96.77,63.16,true,62,88.71,52.63,true,7,85.71,,true
Buddy Hield,28,92.86,44.44,true,27,96.3,55.56,true,26,88.46,50,true,6,83.33,,true
Caleb Martin,15,86.67,60,true,15,100,60,true,15,86.67,20,true,10,100,66.67,true
Cam Spencer,54,83.33,17.65,true,55,90.91,35.29,true,54,88.89,35.29,true,30,93.33,22.22,true
Cam Whitmore,12,100,75,true,12,100,75,true,12,100,75,true,5,100,,true
Cameron Johnson,38,92.11,66.67,true,38,86.84,33.33,true,37,94.59,25,true,37,86.49,50,true
Cameron Payne,2,100,,true,1,100,,true,1,100,,true,1,100,,true
Caris LeVert,37,91.89,58.33,true,35,91.43,36.36,true,38,94.74,33.33,true,4,100,,true
Cason Wallace,60,91.67,38.89,true,60,86.67,38.89,true,59,94.92,44.44,true,55,89.09,29.41,true
Cedric Coward,46,91.3,42.86,true,47,91.49,40,true,47,95.74,60,true,31,83.87,60,true
Chet Holmgren,55,92.73,52.94,true,54,88.89,58.82,true,55,83.64,52.94,true,53,90.57,12.5,true
Coby White,34,91.18,54.55,true,34,91.18,54.55,true,34,91.18,54.55,true,32,93.75,70,true
Cody Williams,25,100,50,true,24,91.67,50,true,24,95.83,75,true,20,95,16.67,true
Cole Anthony,16,100,40,true,16,100,60,true,16,93.75,40,true,5,100,,true
Collin Gillespie,60,83.33,50,true,58,89.66,72.22,true,60,88.33,66.67,true,52,86.54,75,true
Collin Murray-Boyles,34,88.24,36.36,true,34,100,27.27,true,34,94.12,63.64,true,23,95.65,85.71,true
Collin Sexton,48,87.5,53.33,true,47,89.36,26.67,true,47,89.36,53.33,true,38,92.11,66.67,true
Cooper Flagg,50,94,86.67,true,50,96,73.33,true,50,90,73.33,true,46,84.78,50,true
Corey Kispert,30,93.33,55.56,true,30,93.33,33.33,true,29,89.66,55.56,true,8,100,33.33,true
D'Angelo Russell,16,93.75,60,true,15,93.33,40,true,15,100,40,true,9,100,66.67,true
Dalton Knecht,8,100,33.33,true,9,100,33.33,true,9,100,66.67,true,4,100,,true
Daniss Jenkins,22,100,57.14,true,15,86.67,40,true,14,92.86,80,true,4,100,,true
Danny Wolf,37,100,25,true,37,91.89,41.67,true,36,91.67,27.27,true,23,82.61,57.14,true
Darius Garland,30,96.67,66.67,true,30,86.67,55.56,true,30,90,33.33,true,27,96.3,55.56,true
De'Aaron Fox,56,85.71,41.18,true,55,87.27,64.71,true,56,92.86,41.18,true,51,96.08,43.75,true
De'Andre Hunter,44,88.64,78.57,true,44,95.45,42.86,true,44,81.82,50,true,36,88.89,36.36,true
De'Anthony Melton,33,81.82,60,true,32,93.75,50,true,30,83.33,66.67,true,25,96,25,true
Dean Wade,46,89.13,35.71,true,46,86.96,35.71,true,42,88.1,46.15,true,30,93.33,33.33,true
Dejounte Murray,6,100,,true,6,100,,true,6,100,,true,6,100,,true
Deni Avdija,46,93.48,42.86,true,47,87.23,46.67,true,47,87.23,73.33,true,47,87.23,53.33,true
Derrick White,61,88.52,52.63,true,60,91.67,44.44,true,61,81.97,47.37,true,60,86.67,50,true
Desmond Bane,62,93.55,57.89,true,62,82.26,26.32,true,61,83.61,42.11,true,56,92.86,41.18,true
Devin Booker,44,86.36,57.14,true,45,86.67,64.29,true,44,88.64,50,true,44,88.64,64.29,true
Devin Carter,6,83.33,,true,6,100,,true,6,100,,true,6,100,,true
Dillon Brooks,48,95.83,46.67,true,47,89.36,60,true,48,85.42,66.67,true,43,88.37,53.85,true
Domantas Sabonis,19,84.21,50,true,18,94.44,50,true,19,94.74,33.33,true,15,86.67,80,true
Dominick Barlow,33,93.94,60,true,32,87.5,80,true,21,100,28.57,true,8,100,100,true
Donovan Mitchell,55,92.73,41.18,true,55,87.27,41.18,true,56,89.29,47.06,true,53,92.45,37.5,true
Donte DiVincenzo,63,93.65,47.37,true,62,83.87,52.63,true,63,87.3,57.89,true,60,81.67,55.56,true
Drake Powell,27,88.89,44.44,true,27,92.59,66.67,true,26,100,37.5,true,12,100,100,true
Duncan Robinson,59,91.53,61.11,true,59,86.44,55.56,true,59,86.44,72.22,true,57,87.72,61.11,true
Dylan Harper,50,80,53.33,true,48,91.67,33.33,true,50,96,66.67,true,21,85.71,42.86,true
Dyson Daniels,60,85,50,true,59,83.05,72.22,true,59,86.44,55.56,true,56,80.36,76.47,true
Evan Mobley,49,89.8,40,true,48,95.83,66.67,true,49,89.8,66.67,true,42,90.48,46.15,true
Franz Wagner,26,84.62,37.5,true,26,100,37.5,true,26,96.15,87.5,true,21,95.24,42.86,true
Gabe Vincent,22,95.45,57.14,true,21,95.24,42.86,true,21,85.71,42.86,true,7,100,,true
GG Jackson,27,92.59,66.67,true,27,100,44.44,true,27,92.59,22.22,true,6,100,,true
Giannis Antetokounmpo,30,83.33,66.67,true,30,90,55.56,true,30,93.33,33.33,true,27,92.59,66.67,true
Gradey Dick,22,81.82,14.29,true,22,95.45,57.14,true,21,90.48,28.57,true,3,100,,true
Grant Williams,18,94.44,0,true,18,83.33,66.67,true,16,93.75,60,true,5,80,,true
Grayson Allen,39,100,75,true,39,89.74,66.67,true,39,92.31,75,true,36,94.44,72.73,true
Guerschon Yabusele,12,100,25,true,12,100,50,true,11,100,0,true,11,100,75,true
Gui Santos,22,95.45,71.43,true,22,90.91,28.57,true,21,85.71,42.86,true,18,83.33,66.67,true
Harrison Barnes,60,90,50,true,60,90,38.89,true,59,84.75,44.44,true,48,91.67,33.33,true
Herbert Jones,40,92.5,41.67,true,40,82.5,33.33,true,39,89.74,41.67,true,39,82.05,58.33,true
Hugo González,11,100,75,true,10,90,66.67,true,10,100,33.33,true,2,100,,true
Hunter Tyson,2,100,,true,2,100,,true,1,100,,true,1,100,,true
Isaac Okoro,53,81.13,50,true,53,86.79,56.25,true,51,96.08,62.5,true,51,84.31,75,true
Isaiah Joe,44,90.91,57.14,true,44,84.09,42.86,true,43,88.37,38.46,true,19,100,33.33,true
Isaiah Stewart,48,91.67,60,true,48,85.42,46.67,true,47,91.49,40,true,37,89.19,41.67,true
Ja Morant,18,100,50,true,18,94.44,33.33,true,18,100,66.67,true,15,86.67,20,true
Ja'Kobe Walter,31,100,40,true,31,96.77,40,true,28,89.29,44.44,true,11,90.91,50,true
Jabari Walker,3,100,,true,2,100,,true,3,100,,true,1,100,,true
Jaden Hardy,12,100,100,true,12,100,75,true,12,100,25,true,5,100,,true
Jaden Ivey,24,91.67,100,true,24,91.67,25,true,23,86.96,42.86,true,12,100,25,true
Jake LaRavia,55,90.91,64.71,true,55,90.91,41.18,true,55,87.27,41.18,true,44,84.09,50,true
Jalen Green,14,100,40,true,14,92.86,60,true,14,100,60,true,14,100,60,true
Jalen Pickett,18,94.44,33.33,true,18,100,33.33,true,17,88.24,50,true,15,93.33,80,true
Jalen Smith,38,94.74,33.33,true,38,81.58,33.33,true,38,97.37,33.33,true,22,95.45,57.14,true
Jalen Williams,25,92,62.5,true,25,100,37.5,true,24,91.67,37.5,true,23,95.65,42.86,true
Jalen Wilson,5,100,,true,5,100,,true,5,100,,true,1,100,,true
Jamal Shead,57,85.96,44.44,true,57,91.23,44.44,true,57,85.96,33.33,true,29,89.66,44.44,true
James Harden,54,90.74,52.94,true,54,90.74,47.06,true,54,85.19,52.94,true,50,88,40,true
Jamison Battle,1,100,,true,1,100,,true,1,100,,true,1,100,,true
Jared McCain,27,100,44.44,true,26,100,50,true,27,96.3,0,true,5,100,,true
Jarred Vanderbilt,35,94.29,63.64,true,35,94.29,36.36,true,35,94.29,54.55,true,20,90,66.67,true
Jase Richardson,8,100,100,true,8,100,66.67,true,8,100,66.67,true,3,100,,true
Javonte Green,26,96.15,75,true,27,92.59,44.44,true,22,90.91,71.43,true,7,100,,true
Jay Huff,50,84,73.33,true,50,86,53.33,true,49,81.63,53.33,true,41,100,61.54,true
Jaylen Brown,56,91.07,23.53,true,56,82.14,29.41,true,56,89.29,35.29,true,53,88.68,43.75,true
Jaylen Clark,14,100,0,true,14,100,60,true,14,100,40,true,2,100,,true
Jaylin Williams,39,94.87,25,true,40,97.5,50,true,39,92.31,58.33,true,15,100,60,true
Jayson Tatum,2,100,,true,2,100,,true,2,100,,true,2,100,,true
Jeremy Sochan,10,100,33.33,true,9,100,33.33,true,9,88.89,100,true,2,100,,true
Jett Howard,6,100,,true,6,100,,true,6,100,,true,1,100,,true
Jevon Carter,10,100,66.67,true,9,100,33.33,true,9,100,100,true,4,100,,true
Jock Landale,52,82.69,31.25,true,51,84.31,43.75,true,53,86.79,56.25,true,32,93.75,80,true
Joel Embiid,32,81.25,40,true,32,90.63,50,true,32,90.63,20,true,29,82.76,44.44,true
John Konchar,16,87.5,20,true,15,100,40,true,16,87.5,40,true,7,100,,true
Johnny Furphy,17,94.12,0,true,17,94.12,66.67,true,17,94.12,83.33,true,15,93.33,0,true
Jonathan Kuminga,18,88.89,33.33,true,18,88.89,16.67,true,18,100,83.33,true,16,100,100,true
Jordan Clarkson,36,94.44,72.73,true,36,97.22,45.45,true,36,97.22,36.36,true,10,100,66.67,true
Jordan Goodwin,44,93.18,50,true,44,90.91,50,true,43,90.7,76.92,true,23,86.96,28.57,true
Jordan Hawkins,12,91.67,25,true,10,90,66.67,true,10,100,66.67,true,1,100,,true
Jordan Miller,21,100,57.14,true,15,100,60,true,11,100,50,true,1,100,,true
Jordan Poole,26,88.46,37.5,true,26,92.31,25,true,26,92.31,50,true,23,91.3,42.86,true
Jose Alvarado,43,90.7,61.54,true,44,90.91,57.14,true,44,88.64,57.14,true,13,100,25,true
Josh Giddey,41,90.24,38.46,true,41,92.68,61.54,true,41,92.68,38.46,true,39,94.87,50,true
Josh Hart,55,85.45,41.18,true,55,81.82,47.06,true,55,80,41.18,true,48,91.67,33.33,true
Josh Minott,15,100,60,true,15,93.33,20,true,15,86.67,40,true,3,100,,true
Josh Okogie,34,91.18,27.27,true,34,94.12,45.45,true,34,88.24,54.55,true,28,96.43,33.33,true
Jrue Holiday,35,94.29,72.73,true,35,85.71,63.64,true,35,82.86,36.36,true,35,85.71,63.64,true
Julian Champagnie,64,87.5,45,true,64,87.5,45,true,64,82.81,35,true,48,85.42,53.33,true
Julian Phillips,2,100,,true,2,100,,true,2,100,,true,2,100,,true
Julian Strawther,18,100,33.33,true,18,94.44,33.33,true,18,88.89,33.33,true,12,100,50,true
Justin Champagnie,38,94.74,58.33,true,38,89.47,58.33,true,38,89.47,50,true,27,92.59,77.78,true
Justin Edwards,11,100,50,true,11,100,50,true,11,90.91,75,true,6,100,,true
Kam Jones,6,100,,true,7,85.71,,true,7,100,,true,7,100,,true
Kasparas Jakučionis,14,100,20,true,14,100,80,true,14,100,20,true,5,100,,true
Kawhi Leonard,49,81.63,53.33,true,49,91.84,33.33,true,49,81.63,60,true,46,86.96,71.43,true
Keegan Murray,22,100,71.43,true,21,90.48,57.14,true,22,90.91,71.43,true,22,95.45,57.14,true
Kenrich Williams,17,94.12,66.67,true,17,94.12,50,true,17,100,50,true,5,100,,true
Kentavious Caldwell-Pope,45,86.67,50,true,44,84.09,57.14,true,44,97.73,35.71,true,16,87.5,80,true
Keon Ellis,28,85.71,22.22,true,25,96,25,true,24,95.83,12.5,true,6,100,,true
Kevin Durant,59,89.83,38.89,true,59,84.75,66.67,true,59,88.14,50,true,58,93.1,44.44,true
Kevin Huerter,40,87.5,50,true,40,92.5,58.33,true,40,92.5,50,true,19,100,66.67,true
Kevin Love,13,100,75,true,13,100,75,true,13,100,25,true,3,100,,true
Keyonte George,51,80.39,31.25,true,51,88.24,37.5,true,51,88.24,50,true,49,95.92,60,true
Kobe Brown,9,100,100,true,7,100,,true,7,100,,true,4,100,,true
Kobe Sanders,25,100,62.5,true,15,100,100,true,11,100,75,true,3,100,,true
Kris Dunn,61,88.52,57.89,true,62,87.1,42.11,true,62,85.48,47.37,true,54,85.19,76.47,true
Kris Murray,36,86.11,54.55,true,36,91.67,54.55,true,36,91.67,45.45,true,20,85,50,true
Kristaps Porziņģis,18,88.89,50,true,18,100,50,true,18,94.44,33.33,true,17,94.12,50,true
Kyshawn George,47,100,53.33,true,47,93.62,33.33,true,47,91.49,40,true,45,88.89,57.14,true
LaMelo Ball,53,84.91,50,true,53,92.45,43.75,true,53,84.91,56.25,true,49,89.8,53.33,true
Landry Shamet,34,97.06,81.82,true,32,84.38,40,true,34,100,63.64,true,13,100,25,true
Lauri Markkanen,41,82.93,53.85,true,41,87.8,69.23,true,40,87.5,66.67,true,41,87.8,38.46,true
Lonzo Ball,23,95.65,57.14,true,24,95.83,37.5,true,24,91.67,75,true,16,93.75,80,true
Luguentz Dort,53,83.02,62.5,true,53,90.57,56.25,true,52,90.38,68.75,true,51,90.2,43.75,true
Luka Garza,24,95.83,50,true,24,95.83,75,true,22,90.91,57.14,true,2,100,,true
Malik Monk,44,84.09,64.29,true,42,92.86,46.15,true,44,95.45,50,true,20,90,33.33,true
Marcus Sasser,4,100,,true,4,100,,true,4,100,,true,2,100,,true
Maxi Kleber,2,100,,true,2,100,,true,2,100,,true,1,100,,true
Micah Peavy,13,92.31,25,true,13,92.31,50,true,13,92.31,50,true,2,100,,true
Micah Potter,9,100,66.67,true,9,100,33.33,true,8,100,33.33,true,3,100,,true
Mikal Bridges,66,84.85,45,true,66,84.85,45,true,66,80.3,45,true,61,91.8,26.32,true
Mike Conley,30,96.67,55.56,true,28,96.43,55.56,true,30,90,44.44,true,9,100,33.33,true
Miles Bridges,58,94.83,44.44,true,57,92.98,44.44,true,58,93.1,38.89,true,58,87.93,44.44,true
Miles McBride,33,84.85,20,true,33,93.94,60,true,33,90.91,40,true,16,87.5,80,true
Mohamed Diawara,7,100,,true,7,100,,true,7,100,,true,4,100,,true
Moritz Wagner,7,100,,true,7,100,,true,7,100,,true,1,100,,true
Mouhamed Gueye,28,100,55.56,true,28,96.43,44.44,true,22,95.45,85.71,true,11,100,25,true
Myles Turner,58,94.83,61.11,true,57,80.7,44.44,true,58,86.21,50,true,56,91.07,58.82,true
Myron Gardner,4,100,,true,5,100,,true,3,100,,true,1,100,,true
Nicolas Batum,37,91.89,33.33,true,37,83.78,41.67,true,37,91.89,41.67,true,13,84.62,75,true
Nikola Jović,26,96.15,62.5,true,24,95.83,50,true,25,88,75,true,6,100,,true
Nikola Vučević,58,87.93,38.89,true,58,81.03,50,true,58,91.38,66.67,true,48,83.33,46.67,true
Nique Clifford,40,90,50,true,39,87.18,33.33,true,40,85,33.33,true,18,88.89,66.67,true
Noah Penda,5,100,,true,5,80,,true,5,100,,true,2,100,,true
Nolan Traore,28,85.71,33.33,true,25,92,62.5,true,25,92,12.5,true,19,100,50,true
Norman Powell,47,89.36,46.67,true,47,82.98,66.67,true,46,93.48,35.71,true,43,88.37,15.38,true
Obi Toppin,3,100,,true,3,100,,true,3,100,,true,3,100,,true
Ochai Agbaji,16,100,0,true,16,93.75,80,true,13,92.31,0,true,9,100,33.33,true
OG Anunoby,51,84.31,50,true,51,96.08,50,true,51,96.08,50,true,46,93.48,35.71,true
Olivier-Maxence Prosper,8,87.5,100,true,7,100,,true,5,100,,true,2,100,,true
Onyeka Okongwu,57,85.96,55.56,true,57,89.47,44.44,true,57,80.7,38.89,true,57,80.7,22.22,true
Ousmane Dieng,7,100,,true,7,85.71,,true,7,100,,true,4,100,,true
P.J. Washington,43,97.67,46.15,true,43,95.35,38.46,true,42,90.48,53.85,true,41,82.93,53.85,true
Pat Spencer,16,100,40,true,12,91.67,75,true,14,100,60,true,2,100,,true
Paul George,27,100,33.33,true,27,92.59,66.67,true,27,81.48,66.67,true,25,96,37.5,true
Paul Reed,12,100,50,true,12,91.67,75,true,12,91.67,25,true,9,100,66.67,true
Peyton Watson,48,89.58,46.67,true,48,81.25,53.33,true,47,85.11,26.67,true,34,94.12,36.36,true
Quentin Grimes,57,80.7,44.44,true,57,92.98,44.44,true,57,96.49,22.22,true,47,85.11,40,true
Quinten Post,34,85.29,63.64,true,36,97.22,45.45,true,34,94.12,54.55,true,30,93.33,77.78,true
Rayan Rupert,12,100,25,true,11,81.82,25,true,9,88.89,33.33,true,1,100,,true
Reed Sheppard,60,86.67,38.89,true,60,81.67,61.11,true,61,86.89,36.84,true,52,80.77,31.25,true
Royce O'Neale,63,85.71,31.58,true,63,90.48,57.89,true,62,88.71,52.63,true,60,95,61.11,true
Rui Hachimura,51,86.27,62.5,true,51,88.24,50,true,50,90,53.33,true,39,82.05,58.33,true
Russell Westbrook,59,93.22,66.67,true,59,81.36,50,true,59,91.53,50,true,55,81.82,35.29,true
Ryan Dunn,42,85.71,46.15,true,42,90.48,46.15,true,41,97.56,53.85,true,20,95,66.67,true
Ryan Rollins,60,88.33,38.89,true,60,85,55.56,true,60,90,50,true,58,89.66,27.78,true
Sam Hauser,56,91.07,52.94,true,55,83.64,58.82,true,55,92.73,47.06,true,33,90.91,40,true
Sam Merrill,39,97.44,58.33,true,39,82.05,50,true,39,94.87,50,true,35,97.14,54.55,true
Santi Aldama,41,85.37,61.54,true,41,85.37,46.15,true,42,97.62,30.77,true,28,89.29,66.67,true
Scoot Henderson,13,92.31,75,true,13,100,50,true,13,100,50,true,11,100,100,true
Shaedon Sharpe,46,95.65,64.29,true,46,89.13,42.86,true,46,97.83,64.29,true,44,84.09,50,true
Simone Fontecchio,36,86.11,45.45,true,36,86.11,63.64,true,36,100,81.82,true,6,100,,true
Sion James,56,89.29,52.94,true,57,85.96,55.56,true,57,91.23,38.89,true,11,81.82,25,true
Stephen Curry,38,97.37,58.33,true,38,92.11,25,true,38,94.74,50,true,38,89.47,33.33,true
Stephon Castle,53,88.68,43.75,true,51,90.2,75,true,53,90.57,56.25,true,46,86.96,64.29,true
Svi Mykhailiuk,41,90.24,69.23,true,40,90,25,true,39,94.87,16.67,true,37,83.78,25,true
Tari Eason,39,94.87,41.67,true,39,92.31,41.67,true,39,89.74,25,true,36,91.67,18.18,true
Taylor Hendricks,21,90.48,71.43,true,21,100,42.86,true,18,83.33,66.67,true,13,92.31,50,true
Tidjane Salaün,15,86.67,40,true,15,93.33,80,true,15,100,40,true,3,100,,true
Tobias Harris,45,97.78,64.29,true,44,90.91,57.14,true,45,93.33,85.71,true,42,83.33,38.46,true
Trae Young,10,100,33.33,true,10,100,33.33,true,10,90,66.67,true,10,100,33.33,true
Tre Johnson,48,95.83,46.67,true,48,87.5,53.33,true,48,89.58,53.33,true,37,86.49,25,true
Trendon Watford,18,88.89,33.33,true,18,94.44,16.67,true,18,94.44,66.67,true,7,100,,true
Tristan Vukcevic,10,100,33.33,true,9,88.89,33.33,true,7,100,,true,3,100,,true
Ty Jerome,10,100,66.67,true,9,100,33.33,true,10,100,100,true,8,100,33.33,true
Tyler Herro,20,95,50,true,19,100,50,true,20,100,50,true,19,100,33.33,true
Tyler Kolek,13,100,25,true,13,100,75,true,13,100,50,true,3,100,,true
Tyrese Martin,21,95.24,57.14,true,21,90.48,42.86,true,21,95.24,57.14,true,9,88.89,66.67,true
Tyrese Proctor,4,100,,true,4,100,,true,4,100,,true,1,100,,true
Tyus Jones,22,90.91,71.43,true,22,95.45,57.14,true,23,91.3,42.86,true,9,100,66.67,true
Victor Wembanyama,50,94,60,true,50,92,40,true,49,91.84,33.33,true,39,94.87,58.33,true
Walker Kessler,4,100,,true,4,100,,true,4,100,,true,4,100,,true
Will Richard,33,90.91,60,true,33,87.88,50,true,31,90.32,40,true,16,93.75,40,true
Yang Hansen,2,100,,true,2,100,,true,1,100,,true,1,100,,true
Zach Collins,9,100,100,true,9,100,100,true,8,100,33.33,true,1,100,,true
Zach Edey,10,100,66.67,true,10,100,33.33,true,10,100,66.67,true,3,100,,true
Zeke Nnaji,13,100,50,true,13,92.31,25,true,13,92.31,50,true,3,100,,true
Ziaire Williams,33,84.85,80,true,35,97.14,63.64,true,32,96.88,60,true,17,94.12,83.33,true
Zion Williamson,46,86.96,42.86,true,46,86.96,42.86,true,46,80.43,57.14,true,1,100,,true