date,picks,wins,losses,accuracyPct,cumulativePicks,cumulativeWins,cumulativeLosses,cumulativeAccuracyPct
2025-10-23,6,4,2,66.67,6,4,2,66.67
2025-10-24,6,6,0,100.0,12,10,2,83.33
2025-10-25,6,6,0,100.0,18,16,2,88.89
2025-10-26,6,5,1,83.33,24,21,3,87.5
2025-10-27,6,5,1,83.33,30,26,4,86.67
2025-10-28,6,4,2,66.67,36,30,6,83.33
2025-10-29,6,5,1,83.33,42,35,7,83.33
2025-10-30,6,4,2,66.67,48,39,9,81.25
2025-10-31,6,6,0,100.0,54,45,9,83.33
2025-11-01,6,4,2,66.67,60,49,11,81.67
2025-11-02,6,4,2,66.67,66,53,13,80.3
2025-11-03,6,5,1,83.33,72,58,14,80.56
2025-11-04,6,4,2,66.67,78,62,16,79.49
2025-11-05,6,4,2,66.67,84,66,18,78.57
2025-11-06,6,6,0,100.0,90,72,18,80.0
2025-11-07,19,17,2,89.47,109,89,20,81.65
2025-11-08,7,6,1,85.71,116,95,21,81.9
2025-11-09,7,6,1,85.71,123,101,22,82.11
2025-11-10,12,8,4,66.67,135,109,26,80.74
2025-11-11,8,8,0,100.0,143,117,26,81.82
2025-11-12,18,16,2,88.89,161,133,28,82.61
2025-11-13,6,3,3,50.0,167,136,31,81.44
2025-11-14,19,13,6,68.42,186,149,37,80.11
2025-11-15,10,3,7,30.0,196,152,44,77.55
2025-11-16,8,8,0,100.0,204,160,44,78.43
2025-11-17,10,9,1,90.0,214,169,45,78.97
2025-11-18,11,11,0,100.0,225,180,45,80.0
2025-11-19,18,17,1,94.44,243,197,46,81.07
2025-11-20,11,11,0,100.0,254,208,46,81.89
2025-11-21,10,8,2,80.0,264,216,48,81.82
2025-11-22,7,7,0,100.0,271,223,48,82.29
2025-11-23,12,6,6,50.0,283,229,54,80.92
2025-11-24,9,6,3,66.67,292,235,57,80.48
2025-11-25,6,2,4,33.33,298,237,61,79.53
2025-11-26,12,11,1,91.67,310,248,62,80.0
2025-11-28,19,19,0,100.0,329,267,62,81.16
2025-11-29,6,4,2,66.67,335,271,64,80.9
2025-11-30,10,9,1,90.0,345,280,65,81.16
2025-12-01,6,3,3,50.0,351,283,68,80.63
2025-12-02,9,8,1,88.89,360,291,69,80.83
2025-12-03,6,5,1,83.33,366,296,70,80.87
2025-12-04,6,4,2,66.67,372,300,72,80.65
2025-12-05,8,7,1,87.5,380,307,73,80.79
2025-12-06,6,6,0,100.0,386,313,73,81.09
2025-12-07,9,5,4,55.56,395,318,77,80.51
2025-12-08,6,5,1,83.33,401,323,78,80.55
2025-12-09,6,5,1,83.33,407,328,79,80.59
2025-12-10,6,6,0,100.0,413,334,79,80.87
2025-12-11,6,6,0,100.0,419,340,79,81.15
2025-12-12,10,8,2,80.0,429,348,81,81.12
2025-12-13,6,5,1,83.33,435,353,82,81.15
2025-12-14,6,6,0,100.0,441,359,82,81.41
2025-12-15,6,6,0,100.0,447,365,82,81.66
2025-12-16,6,5,1,83.33,453,370,83,81.68
2025-12-17,6,5,1,83.33,459,375,84,81.7
2025-12-18,11,10,1,90.91,470,385,85,81.91
2025-12-19,6,2,4,33.33,476,387,89,81.3
2025-12-20,13,13,0,100.0,489,400,89,81.8
2025-12-21,6,5,1,83.33,495,405,90,81.82
2025-12-22,6,6,0,100.0,501,411,90,82.04
2025-12-23,13,13,0,100.0,514,424,90,82.49
2025-12-25,6,6,0,100.0,520,430,90,82.69
2025-12-26,6,4,2,66.67,526,434,92,82.51
2025-12-27,9,7,2,77.78,535,441,94,82.43
2025-12-28,6,5,1,83.33,541,446,95,82.44
2025-12-29,6,4,2,66.67,547,450,97,82.27
2025-12-30,6,4,2,66.67,553,454,99,82.1
2025-12-31,6,6,0,100.0,559,460,99,82.29
2026-01-01,6,2,4,33.33,565,462,103,81.77
2026-01-02,6,6,0,100.0,571,468,103,81.96
2026-01-03,7,4,3,57.14,578,472,106,81.66
2026-01-04,6,3,3,50.0,584,475,109,81.34
2026-01-05,6,6,0,100.0,590,481,109,81.53
2026-01-06,6,6,0,100.0,596,487,109,81.71
2026-01-07,6,6,0,100.0,602,493,109,81.89
2026-01-08,6,6,0,100.0,608,499,109,82.07
2026-01-09,6,6,0,100.0,614,505,109,82.25
2026-01-10,7,4,3,57.14,621,509,112,81.96
2026-01-11,6,6,0,100.0,627,515,112,82.14
2026-01-12,6,6,0,100.0,633,521,112,82.31
2026-01-13,6,4,2,66.67,639,525,114,82.16
2026-01-14,6,4,2,66.67,645,529,116,82.02
2026-01-15,6,6,0,100.0,651,535,116,82.18
2026-01-16,6,6,0,100.0,657,541,116,82.34
2026-01-17,6,5,1,83.33,663,546,117,82.35
2026-01-18,6,5,1,83.33,669,551,118,82.36
2026-01-19,6,5,1,83.33,675,556,119,82.37
2026-01-20,6,3,3,50.0,681,559,122,82.09
2026-01-21,6,4,2,66.67,687,563,124,81.95
2026-01-22,6,2,4,33.33,693,565,128,81.53
2026-01-23,6,4,2,66.67,699,569,130,81.4
2026-01-24,6,5,1,83.33,705,574,131,81.42
2026-01-25,6,6,0,100.0,711,580,131,81.58
2026-01-26,6,5,1,83.33,717,585,132,81.59
2026-01-27,6,5,1,83.33,723,590,133,81.6
2026-01-28,6,5,1,83.33,729,595,134,81.62
2026-01-29,6,6,0,100.0,735,601,134,81.77
2026-01-30,6,5,1,83.33,741,606,135,81.78
2026-01-31,6,3,3,50.0,747,609,138,81.53
2026-02-01,6,6,0,100.0,753,615,138,81.67
2026-02-02,6,3,3,50.0,759,618,141,81.42
2026-02-03,9,6,3,66.67,768,624,144,81.25
2026-02-04,6,2,4,33.33,774,626,148,80.88
2026-02-05,6,2,4,33.33,780,628,152,80.51
2026-02-06,10,9,1,90.0,790,637,153,80.63
2026-02-07,6,3,3,50.0,796,640,156,80.4
2026-02-08,6,2,4,33.33,802,642,160,80.05
2026-02-09,6,6,0,100.0,808,648,160,80.2
2026-02-10,6,4,2,66.67,814,652,162,80.1
2026-02-11,9,9,0,100.0,823,661,162,80.32
2026-02-12,6,4,2,66.67,829,665,164,80.22
2026-02-19,6,2,4,33.33,835,667,168,79.88
2026-02-20,10,10,0,100.0,845,677,168,80.12
2026-02-21,6,3,3,50.0,851,680,171,79.91
2026-02-22,6,6,0,100.0,857,686,171,80.05
2026-02-23,6,5,1,83.33,863,691,172,80.07
2026-02-24,6,5,1,83.33,869,696,173,80.09
2026-02-25,6,1,5,16.67,875,697,178,79.66
2026-02-26,8,8,0,100.0,883,705,178,79.84
2026-02-27,6,6,0,100.0,889,711,178,79.98
2026-02-28,11,11,0,100.0,900,722,178,80.22
2026-03-01,6,3,3,50.0,906,725,181,80.02
2026-03-02,6,5,1,83.33,912,730,182,80.04
2026-03-03,6,5,1,83.33,918,735,183,80.07
2026-03-04,8,7,1,87.5,926,742,184,80.13
2026-03-05,7,6,1,85.71,933,748,185,80.17
2026-03-06,6,4,2,66.67,939,752,187,80.09
2026-03-07,6,5,1,83.33,945,757,188,80.11
2026-03-08,6,6,0,100.0,951,763,188,80.23
2026-03-09,6,6,0,100.0,957,769,188,80.36
2026-03-10,6,6,0,100.0,963,775,188,80.48
2026-03-11,6,6,0,100.0,969,781,188,80.6
2026-03-12,6,6,0,100.0,975,787,188,80.72
2026-03-13,6,5,1,83.33,981,792,189,80.73
2026-03-14,6,4,2,66.67,987,796,191,80.65
2026-03-15,6,5,1,83.33,993,801,192,80.66
2026-03-16,6,5,1,83.33,999,806,193,80.68
2026-03-17,6,5,1,83.33,1005,811,194,80.7
2026-03-18,6,6,0,100.0,1011,817,194,80.81
2026-03-19,6,4,2,66.67,1017,821,196,80.73
2026-03-20,6,6,0,100.0,1023,827,196,80.84
2026-03-21,6,3,3,50.0,1029,830,199,80.66
2026-03-22,6,5,1,83.33,1035,835,200,80.68
2026-03-23,6,6,0,100.0,1041,841,200,80.79
2026-03-24,6,5,1,83.33,1047,846,201,80.8
2026-03-25,6,6,0,100.0,1053,852,201,80.91
2026-03-26,6,6,0,100.0,1059,858,201,81.02
2026-03-27,6,5,1,83.33,1065,863,202,81.03
2026-03-28,6,4,2,66.67,1071,867,204,80.95
2026-03-29,6,3,3,50.0,1077,870,207,80.78
2026-03-30,6,5,1,83.33,1083,875,208,80.79
2026-03-31,6,4,2,66.67,1089,879,210,80.72
2026-04-01,6,4,2,66.67,1095,883,212,80.64
2026-04-02,6,5,1,83.33,1101,888,213,80.65
2026-04-03,6,6,0,100.0,1107,894,213,80.76
2026-04-04,6,4,2,66.67,1113,898,215,80.68
2026-04-05,6,5,1,83.33,1119,903,216,80.7
2026-04-06,6,5,1,83.33,1125,908,217,80.71
2026-04-07,6,6,0,100.0,1131,914,217,80.81
2026-04-08,6,5,1,83.33,1137,919,218,80.83
2026-04-09,6,6,0,100.0,1143,925,218,80.93
2026-04-10,6,6,0,100.0,1149,931,218,81.03
2026-04-12,6,4,2,66.67,1155,935,220,80.95
2026-04-14,6,4,2,66.67,1161,939,222,80.88
2026-04-15,6,5,1,83.33,1167,944,223,80.89
2026-04-17,6,5,1,83.33,1173,949,224,80.9
2026-04-18,6,6,0,100.0,1179,955,224,81.0
2026-04-19,6,5,1,83.33,1185,960,225,81.01
2026-04-20,6,4,2,66.67,1191,964,227,80.94
2026-04-21,6,6,0,100.0,1197,970,227,81.04
2026-04-22,6,4,2,66.67,1203,974,229,80.96
2026-04-23,6,3,3,50.0,1209,977,232,80.81
